epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,728.77,1.04006,0.68699,0.86755,0.90703,0.8717,0.90798,0.70413,0.80938,0.55462,0.86359,0.000695343,0.000695343,0.000695343
111,735.28,1.05136,0.69813,0.86631,0.91034,0.8583,0.89419,0.69674,0.81395,0.57482,0.85431,0.000685355,0.000685355,0.000685355
112,741.785,1.05591,0.73956,0.87021,0.90933,0.84878,0.8977,0.68333,0.8349,0.59052,0.86285,0.000675391,0.000675391,0.000675391
113,748.225,1.01691,0.683,0.86828,0.89366,0.85859,0.89861,0.69826,0.8152,0.58232,0.86646,0.000665454,0.000665454,0.000665454
114,754.697,1.08277,0.70881,0.86768,0.89306,0.86668,0.89829,0.6943,0.8438,0.56628,0.86986,0.000655548,0.000655548,0.000655548
115,761.176,1.03944,0.67672,0.85731,0.90388,0.87339,0.90381,0.70481,0.81635,0.5704,0.87369,0.000645673,0.000645673,0.000645673
116,767.66,1.03311,0.6762,0.86398,0.9089,0.86931,0.90301,0.70524,0.8056,0.57471,0.87472,0.000635833,0.000635833,0.000635833
117,774.068,1.04348,0.69385,0.87346,0.89824,0.8703,0.89895,0.70299,0.79682,0.56794,0.87062,0.00062603,0.00062603,0.00062603
118,780.51,1.02439,0.67407,0.85904,0.89606,0.87411,0.90177,0.70841,0.78417,0.56865,0.86493,0.000616266,0.000616266,0.000616266
119,787.973,1.00494,0.82153,0.87425,0.92332,0.85896,0.90841,0.69803,0.83038,0.57247,0.86037,0.000606545,0.000606545,0.000606545
120,794.461,1.00848,0.66598,0.85897,0.91647,0.8717,0.90752,0.70641,0.80276,0.5749,0.86616,0.000596867,0.000596867,0.000596867
121,800.887,1.03622,0.68404,0.86258,0.91228,0.86847,0.90316,0.70324,0.79504,0.58586,0.85688,0.000587237,0.000587237,0.000587237
122,807.362,1.02162,0.67858,0.86411,0.9228,0.8702,0.91049,0.70943,0.79149,0.56713,0.86205,0.000577655,0.000577655,0.000577655
123,813.801,1.00785,0.66888,0.8651,0.91565,0.8697,0.90727,0.71149,0.80708,0.5672,0.88067,0.000568125,0.000568125,0.000568125
124,820.315,1.04247,0.66202,0.85222,0.88967,0.87521,0.90095,0.71104,0.79707,0.57123,0.87309,0.000558648,0.000558648,0.000558648
125,826.775,1.01269,0.65591,0.85541,0.90667,0.87369,0.90881,0.70814,0.80399,0.56697,0.8677,0.000549228,0.000549228,0.000549228
126,833.277,1.04146,0.68164,0.86432,0.90572,0.867,0.90065,0.71442,0.79216,0.56607,0.87108,0.000539865,0.000539865,0.000539865
127,839.756,1.00424,0.65123,0.8552,0.91859,0.86196,0.90654,0.71065,0.78393,0.54534,0.86292,0.000530564,0.000530564,0.000530564
128,846.198,0.97363,0.67073,0.85916,0.89842,0.87261,0.90503,0.72095,0.77544,0.53878,0.86409,0.000521326,0.000521326,0.000521326
129,853.626,0.96428,0.64838,0.85821,0.88753,0.89491,0.90759,0.71233,0.7812,0.54539,0.86556,0.000512153,0.000512153,0.000512153
130,860.11,0.97579,0.65198,0.86837,0.93492,0.85622,0.90221,0.70172,0.81,0.5554,0.87821,0.000503047,0.000503047,0.000503047
131,866.598,0.98711,0.65892,0.86221,0.91187,0.86177,0.8994,0.70796,0.80093,0.56367,0.8783,0.000494011,0.000494011,0.000494011
132,873.188,1.02225,0.6581,0.85405,0.91869,0.86995,0.90816,0.71211,0.8009,0.57235,0.87119,0.000485048,0.000485048,0.000485048
