epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
100,7551.09,1.45108,1.04611,1.00969,0.54536,0.54741,0.52884,0.24775,1.5598,1.17222,1.0362,0.016712,0.00557068,0.016712,0.00557068,0.016712,0.00557068,0.016712,0.00557068
101,7626.2,1.44411,1.03491,1.0066,0.53423,0.52964,0.50652,0.23896,1.56013,1.17252,1.03674,0.0165,0.0055,0.0165,0.0055,0.0165,0.0055,0.0165,0.0055
102,7701.01,1.43091,1.03132,1.00489,0.55331,0.51811,0.52048,0.24029,1.55899,1.17869,1.03797,0.016288,0.00542932,0.016288,0.00542932,0.016288,0.00542932,0.016288,0.00542932
103,7776.03,1.44196,1.03332,1.00526,0.54935,0.53409,0.52597,0.23938,1.56219,1.16573,1.04012,0.016076,0.00535865,0.016076,0.00535865,0.016076,0.00535865,0.016076,0.00535865
104,7851.37,1.43307,1.02824,1.00688,0.57374,0.51622,0.52913,0.24329,1.56154,1.16326,1.04196,0.0158641,0.00528802,0.0158641,0.00528802,0.0158641,0.00528802,0.0158641,0.00528802
105,7926.25,1.4279,1.01441,0.99964,0.57713,0.54375,0.53836,0.2464,1.56429,1.1635,1.04343,0.0156523,0.00521744,0.0156523,0.00521744,0.0156523,0.00521744,0.0156523,0.00521744
106,8001.01,1.43384,1.01865,1.00371,0.55512,0.54435,0.529,0.24411,1.5623,1.16093,1.04308,0.0154408,0.00514693,0.0154408,0.00514693,0.0154408,0.00514693,0.0154408,0.00514693
107,8075.57,1.41927,1.00819,1.00651,0.58272,0.50791,0.53207,0.24261,1.57238,1.15994,1.04529,0.0152295,0.00507651,0.0152295,0.00507651,0.0152295,0.00507651,0.0152295,0.00507651
108,8150.18,1.40987,0.99914,0.997,0.53235,0.52875,0.52824,0.24298,1.57101,1.15832,1.04428,0.0150186,0.0050062,0.0150186,0.0050062,0.0150186,0.0050062,0.0150186,0.0050062
109,8224.63,1.40711,0.99952,0.99654,0.56223,0.50786,0.52466,0.24346,1.56513,1.15296,1.04135,0.014808,0.004936,0.014808,0.004936,0.014808,0.004936,0.014808,0.004936
110,8299.66,1.41422,1.00072,1.00016,0.56111,0.53096,0.52841,0.24447,1.56491,1.15059,1.03921,0.0145978,0.00486594,0.0145978,0.00486594,0.0145978,0.00486594,0.0145978,0.00486594
111,8375.15,1.4136,1.00437,0.99675,0.59936,0.5025,0.52858,0.24463,1.55959,1.15152,1.03861,0.0143881,0.00479604,0.0143881,0.00479604,0.0143881,0.00479604,0.0143881,0.00479604
112,8450.37,1.4032,0.99353,0.99562,0.5563,0.55868,0.53257,0.24434,1.56665,1.15392,1.03885,0.014179,0.00472632,0.014179,0.00472632,0.014179,0.00472632,0.014179,0.00472632
113,8525.52,1.40881,0.9879,0.99315,0.57073,0.53374,0.53641,0.24653,1.57766,1.15862,1.04513,0.0139704,0.00465678,0.0139704,0.00465678,0.0139704,0.00465678,0.0139704,0.00465678
114,8600.08,1.39924,0.98066,0.99388,0.55913,0.54693,0.53447,0.24474,1.57339,1.15176,1.04494,0.0137624,0.00458746,0.0137624,0.00458746,0.0137624,0.00458746,0.0137624,0.00458746
115,8674.86,1.39987,0.97954,0.99544,0.57343,0.53747,0.54001,0.24899,1.57798,1.14546,1.05078,0.0135551,0.00451836,0.0135551,0.00451836,0.0135551,0.00451836,0.0135551,0.00451836
116,8749.51,1.40015,0.98123,0.99042,0.58145,0.52307,0.54439,0.25225,1.57081,1.14975,1.04433,0.0133485,0.0044495,0.0133485,0.0044495,0.0133485,0.0044495,0.0133485,0.0044495
117,8824.46,1.39107,0.97129,0.99095,0.58146,0.52235,0.5397,0.25128,1.57095,1.15122,1.04486,0.0131427,0.0043809,0.0131427,0.0043809,0.0131427,0.0043809,0.0131427,0.0043809
118,8899.68,1.40195,0.97448,0.99011,0.5456,0.54417,0.53647,0.24941,1.57153,1.15436,1.04327,0.0129377,0.00431257,0.0129377,0.00431257,0.0129377,0.00431257,0.0129377,0.00431257
119,8975.49,1.39489,0.96578,0.99076,0.56259,0.55975,0.54417,0.24681,1.58319,1.15289,1.04912,0.0127336,0.00424454,0.0127336,0.00424454,0.0127336,0.00424454,0.0127336,0.00424454
120,9050.67,1.38247,0.95716,0.98497,0.53939,0.56199,0.52674,0.2422,1.58374,1.15759,1.05204,0.0125305,0.00417682,0.0125305,0.00417682,0.0125305,0.00417682,0.0125305,0.00417682
121,9125.59,1.38101,0.95163,0.9869,0.53802,0.5695,0.53772,0.24408,1.57884,1.1569,1.04848,0.0123283,0.00410942,0.0123283,0.00410942,0.0123283,0.00410942,0.0123283,0.00410942
122,9200.57,1.37678,0.95447,0.98949,0.53435,0.55731,0.52316,0.24387,1.57571,1.15592,1.0486,0.0121271,0.00404237,0.0121271,0.00404237,0.0121271,0.00404237,0.0121271,0.00404237
123,9275.43,1.3709,0.94595,0.97681,0.54387,0.55089,0.52541,0.24366,1.57606,1.15437,1.04817,0.011927,0.00397568,0.011927,0.00397568,0.011927,0.00397568,0.011927,0.00397568
124,9350.12,1.37535,0.94297,0.9786,0.53523,0.53838,0.5222,0.24001,1.58316,1.15412,1.04992,0.0117281,0.00390936,0.0117281,0.00390936,0.0117281,0.00390936,0.0117281,0.00390936
125,9425.52,1.37152,0.93916,0.9848,0.56855,0.51147,0.52026,0.23926,1.58313,1.15082,1.05016,0.0115303,0.00384344,0.0115303,0.00384344,0.0115303,0.00384344,0.0115303,0.00384344
126,9500.64,1.36287,0.9346,0.97984,0.54992,0.53665,0.52152,0.237,1.5827,1.15132,1.05144,0.0113338,0.00377792,0.0113338,0.00377792,0.0113338,0.00377792,0.0113338,0.00377792
127,9575.57,1.35727,0.92963,0.98364,0.54273,0.53197,0.51858,0.23615,1.58084,1.14957,1.05168,0.0111385,0.00371283,0.0111385,0.00371283,0.0111385,0.00371283,0.0111385,0.00371283
128,9650.68,1.35888,0.92556,0.97938,0.53753,0.54764,0.51704,0.23899,1.58418,1.1508,1.05385,0.0109446,0.00364819,0.0109446,0.00364819,0.0109446,0.00364819,0.0109446,0.00364819
