epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
97,7610.11,1.44859,1.05401,1.00795,0.5247,0.54796,0.51404,0.23827,1.56523,1.15988,1.03948,0.0173477,0.00578256,0.0173477,0.00578256,0.0173477,0.00578256,0.0173477,0.00578256
98,7684.7,1.44254,1.04465,1.01159,0.5214,0.54087,0.50836,0.23928,1.56337,1.17312,1.03774,0.0171359,0.00571198,0.0171359,0.00571198,0.0171359,0.00571198,0.0171359,0.00571198
99,7759.09,1.44235,1.04781,1.01173,0.51349,0.52152,0.50631,0.23713,1.56986,1.16701,1.03979,0.016924,0.00564135,0.016924,0.00564135,0.016924,0.00564135,0.016924,0.00564135
100,7833.57,1.44919,1.04234,1.00744,0.56492,0.52117,0.52087,0.2399,1.57039,1.16618,1.03495,0.016712,0.00557068,0.016712,0.00557068,0.016712,0.00557068,0.016712,0.00557068
101,7909.4,1.441,1.03239,1.00316,0.53712,0.53478,0.5071,0.23759,1.57012,1.1663,1.03916,0.0165,0.0055,0.0165,0.0055,0.0165,0.0055,0.0165,0.0055
102,7984.65,1.42706,1.02872,1.00352,0.54789,0.54763,0.52642,0.23972,1.57422,1.16001,1.0393,0.016288,0.00542932,0.016288,0.00542932,0.016288,0.00542932,0.016288,0.00542932
103,8059.33,1.43796,1.03235,1.00255,0.51499,0.53752,0.50425,0.23726,1.5716,1.16563,1.04102,0.016076,0.00535865,0.016076,0.00535865,0.016076,0.00535865,0.016076,0.00535865
104,8133.86,1.4263,1.02297,1.00385,0.53861,0.54028,0.51462,0.24368,1.57265,1.16486,1.04118,0.0158641,0.00528802,0.0158641,0.00528802,0.0158641,0.00528802,0.0158641,0.00528802
105,8208.67,1.4223,1.02283,0.99797,0.5384,0.52295,0.49908,0.23707,1.56664,1.16259,1.03964,0.0156523,0.00521744,0.0156523,0.00521744,0.0156523,0.00521744,0.0156523,0.00521744
106,8283.2,1.43133,1.01948,0.99907,0.55052,0.53312,0.51216,0.24094,1.56243,1.15065,1.0378,0.0154408,0.00514693,0.0154408,0.00514693,0.0154408,0.00514693,0.0154408,0.00514693
107,8358.14,1.41896,1.00374,1.00427,0.58294,0.55697,0.53223,0.24422,1.56556,1.15411,1.04253,0.0152295,0.00507651,0.0152295,0.00507651,0.0152295,0.00507651,0.0152295,0.00507651
108,8432.97,1.40591,0.99684,0.99571,0.58397,0.55314,0.52892,0.24394,1.56926,1.15772,1.04096,0.0150186,0.0050062,0.0150186,0.0050062,0.0150186,0.0050062,0.0150186,0.0050062
109,8508.37,1.41583,0.99866,0.99845,0.53736,0.54312,0.51853,0.24215,1.5652,1.14682,1.03712,0.014808,0.004936,0.014808,0.004936,0.014808,0.004936,0.014808,0.004936
110,8583.97,1.41462,0.99918,0.9968,0.56655,0.52078,0.51573,0.2416,1.57068,1.15242,1.03656,0.0145978,0.00486594,0.0145978,0.00486594,0.0145978,0.00486594,0.0145978,0.00486594
111,8659.86,1.41012,0.99977,0.99374,0.54362,0.5284,0.51204,0.24074,1.56558,1.14986,1.03365,0.0143881,0.00479604,0.0143881,0.00479604,0.0143881,0.00479604,0.0143881,0.00479604
112,8735.01,1.39872,0.98722,0.9909,0.53089,0.55611,0.52012,0.23524,1.57662,1.16022,1.04055,0.014179,0.00472632,0.014179,0.00472632,0.014179,0.00472632,0.014179,0.00472632
113,8810.96,1.40796,0.98724,0.99192,0.55311,0.52924,0.51271,0.2405,1.57619,1.16332,1.04032,0.0139704,0.00465678,0.0139704,0.00465678,0.0139704,0.00465678,0.0139704,0.00465678
114,8885.75,1.40198,0.98285,0.99355,0.56114,0.52676,0.51836,0.24431,1.57926,1.16705,1.04418,0.0137624,0.00458746,0.0137624,0.00458746,0.0137624,0.00458746,0.0137624,0.00458746
115,8960.8,1.3914,0.97942,0.98981,0.55945,0.52594,0.51931,0.23911,1.59001,1.1617,1.04834,0.0135551,0.00451836,0.0135551,0.00451836,0.0135551,0.00451836,0.0135551,0.00451836
116,9036.67,1.39399,0.96815,0.98826,0.55008,0.54053,0.52042,0.2383,1.59116,1.1659,1.04605,0.0133485,0.0044495,0.0133485,0.0044495,0.0133485,0.0044495,0.0133485,0.0044495
117,9111.81,1.38146,0.9689,0.9874,0.53567,0.54648,0.51356,0.23871,1.58707,1.16739,1.04717,0.0131427,0.0043809,0.0131427,0.0043809,0.0131427,0.0043809,0.0131427,0.0043809
118,9188.36,1.39642,0.97556,0.98733,0.52481,0.55252,0.50989,0.23493,1.58822,1.16781,1.0473,0.0129377,0.00431257,0.0129377,0.00431257,0.0129377,0.00431257,0.0129377,0.00431257
119,9264.43,1.38999,0.97239,0.98645,0.55291,0.54082,0.51547,0.23608,1.583,1.16311,1.04626,0.0127336,0.00424454,0.0127336,0.00424454,0.0127336,0.00424454,0.0127336,0.00424454
120,9340.76,1.38014,0.95404,0.98411,0.57078,0.51281,0.51153,0.23589,1.58524,1.15959,1.04884,0.0125305,0.00417682,0.0125305,0.00417682,0.0125305,0.00417682,0.0125305,0.00417682
121,9418.56,1.3776,0.95426,0.98256,0.54436,0.51538,0.50647,0.23467,1.58575,1.1527,1.05295,0.0123283,0.00410942,0.0123283,0.00410942,0.0123283,0.00410942,0.0123283,0.00410942
122,9497.11,1.37337,0.95501,0.98616,0.53718,0.53273,0.51312,0.2374,1.58649,1.14974,1.05221,0.0121271,0.00404237,0.0121271,0.00404237,0.0121271,0.00404237,0.0121271,0.00404237
123,9575.09,1.36816,0.94276,0.97544,0.56309,0.52627,0.51784,0.23873,1.58639,1.15956,1.05411,0.011927,0.00397568,0.011927,0.00397568,0.011927,0.00397568,0.011927,0.00397568
124,9653.02,1.3723,0.9473,0.97613,0.56044,0.53582,0.52688,0.24094,1.58546,1.15829,1.05095,0.0117281,0.00390936,0.0117281,0.00390936,0.0117281,0.00390936,0.0117281,0.00390936
125,9728.42,1.36765,0.94744,0.98152,0.53933,0.52112,0.50991,0.23877,1.58363,1.1549,1.04999,0.0115303,0.00384344,0.0115303,0.00384344,0.0115303,0.00384344,0.0115303,0.00384344
126,9803.37,1.36482,0.93974,0.97942,0.51903,0.53944,0.50958,0.23956,1.57931,1.15004,1.05082,0.0113338,0.00377792,0.0113338,0.00377792,0.0113338,0.00377792,0.0113338,0.00377792
127,9878.33,1.35667,0.9257,0.98007,0.54476,0.52801,0.50713,0.23705,1.59015,1.1526,1.05329,0.0111385,0.00371283,0.0111385,0.00371283,0.0111385,0.00371283,0.0111385,0.00371283
128,9953.92,1.35392,0.92133,0.97609,0.53395,0.53774,0.50956,0.23813,1.59451,1.15892,1.05297,0.0109446,0.00364819,0.0109446,0.00364819,0.0109446,0.00364819,0.0109446,0.00364819
